Ano,Pergunta,A,B,C,D,Correta,Nível,Tempo
3º Ano,Ana comprou 3 caixas com 4 lápis. Quantos lápis?,7,12,14,10,B,Fácil,10
3º Ano,Pedro tinha 20 figurinhas e deu 6. Quantas ficou?,14,15,12,13,A,Fácil,10
3º Ano,Em 5 sacos há 3 balas cada. Quantas balas?,12,18,8,15,D,Fácil,10
3º Ano,Lia leu 12 páginas de manhã e 9 à tarde. Total?,21,19,22,20,A,Fácil,10
3º Ano,João repartiu 18 bolinhas entre 3 amigos. Cada um recebeu?,8,7,6,5,C,Fácil,10
3º Ano,Uma pizza foi dividida em 8 partes. Comeram 3. Sobraram?,5,6,4,7,A,Fácil,10
3º Ano,No ônibus havia 24 pessoas. Desceram 8. Ficaram?,15,14,18,16,D,Fácil,10
3º Ano,Maria juntou 7 moedas de 1 real. Quanto juntou?,7,6,8,5,A,Fácil,10
3º Ano,Cada pacote tem 6 biscoitos. Em 4 pacotes há?,20,26,22,24,D,Fácil,10
3º Ano,Bia tinha 30 reais e gastou 12. Sobrou?,18,16,17,20,A,Fácil,10
3º Ano,Uma sala tem 4 filas com 5 cadeiras. Total?,18,20,16,22,B,Fácil,10
3º Ano,Carlos comprou 2 cadernos de 9 reais. Pagou?,18,19,16,20,A,Fácil,10
3º Ano,Na cesta há 13 maçãs e 8 bananas. Total?,19,20,22,21,D,Fácil,10
3º Ano,Rafa guardou 25 cards em 5 envelopes. Cada envelope tem?,4,7,6,5,D,Fácil,10
3º Ano,Um jogo começou às 14h e durou 2 horas. Terminou às?,16h,15h,17h,18h,A,Fácil,10
3º Ano,A aula começa às 7h e termina às 11h. Dura?,3 horas,2 horas,4 horas,5 horas,C,Fácil,10
3º Ano,Luana tinha 15 adesivos e ganhou 9. Ficou com?,24,25,22,23,A,Fácil,10
3º Ano,Em 3 prateleiras há 8 livros cada. Quantos livros?,22,24,21,26,B,Fácil,10
3º Ano,Divida 20 balas igualmente entre 4 crianças. Cada uma recebe?,4,8,6,5,D,Fácil,10
3º Ano,Uma dezena tem quantas unidades?,50,10,100,5,B,Fácil,10
3º Ano,Três dezenas correspondem a quantas unidades?,3,300,30,13,C,Fácil,10
3º Ano,O número 47 tem quantas dezenas?,4,47,7,5,A,Fácil,10
3º Ano,O número 62 tem quantas unidades?,2,6,60,20,A,Fácil,10
3º Ano,Qual número vem depois de 89?,88,91,90,99,C,Fácil,10
3º Ano,Qual número vem antes de 70?,69,60,71,68,A,Fácil,10
3º Ano,Some 36 + 12 para contar brinquedos.,46,47,48,49,C,Médio,15
3º Ano,Subtraia 54 - 23 para saber o troco.,30,32,29,31,D,Médio,15
3º Ano,"Em 6 dias, Ana lê 2 páginas por dia. Total?",14,8,12,10,C,Fácil,10
3º Ano,Um pacote custa 7 reais. Dois pacotes custam?,13,14,15,12,B,Fácil,10
3º Ano,Há 9 alunos em cada grupo. Em 3 grupos há?,27,18,24,30,A,Fácil,10
3º Ano,Um bolo foi cortado em 10 fatias. Comeram 4. Restaram?,6,7,4,5,A,Fácil,10
3º Ano,No aquário havia 16 peixes. Nasceram 5. Agora há?,21,19,20,22,A,Fácil,10
3º Ano,Sofia tinha 28 reais e ganhou 10. Ficou com?,37,39,38,36,C,Fácil,10
3º Ano,Miguel correu 3 voltas de 6 metros. Correu?,12 m,18 m,15 m,21 m,B,Fácil,10
3º Ano,Metade de 14 balas é quanto?,5,6,7,8,C,Fácil,10
3º Ano,Dobro de 9 figurinhas é quanto?,18,19,16,17,A,Fácil,10
3º Ano,Triplo de 4 carrinhos é quanto?,10,8,14,12,D,Fácil,10
3º Ano,Uma régua mede 30 cm. Metade mede?,25 cm,10 cm,15 cm,20 cm,C,Fácil,10
3º Ano,"Qual é o maior número: 58, 85, 68 ou 75?",85,58,68,75,A,Fácil,10
3º Ano,"Qual é o menor número: 42, 24, 34 ou 43?",43,42,24,34,C,Fácil,10
3º Ano,"Na frase 'O gato dormiu', quem dormiu?",o gato,a casa,o peixe,a bola,A,Fácil,10
3º Ano,"Na frase 'Ana come maçã', a ação é?",maçã,Ana,fruta,come,D,Fácil,10
3º Ano,Qual palavra completa: Eu ___ na escola.,estudo,estudam,estuda,estudou,A,Fácil,10
3º Ano,Qual é o plural de 'animal'?,animais,animalis,animales,animals,A,Fácil,10
3º Ano,Qual é o diminutivo de 'casa'?,caseiro,casão,casas,casinha,D,Fácil,10
3º Ano,Qual é o aumentativo de 'copo'?,copos,copão,copiar,copinho,B,Fácil,10
3º Ano,Qual palavra tem som de CH?,mesa,chuva,casa,bola,B,Fácil,10
3º Ano,Qual palavra tem encontro vocálico?,pato,livro,pai,mesa,C,Médio,15
3º Ano,"Em 'A menina feliz', a qualidade é?",menina,a,A,feliz,D,Fácil,10
3º Ano,Qual frase termina com pergunta?,Você veio?,Pare.,Que lindo!,Eu fui.,A,Fácil,10
3º Ano,Qual palavra rima com 'coração'?,balão,janela,livro,mesa,A,Fácil,10
3º Ano,Qual palavra está no feminino?,garoto,menina,tio,menino,B,Fácil,10
3º Ano,Qual palavra está no masculino?,menina,tia,aluno,gata,C,Fácil,10
3º Ano,Qual palavra indica lugar?,escola,bonito,feliz,correu,A,Fácil,10
