Ano,Pergunta,A,B,C,D,Correta,Nível,Tempo
1º Ano,Qual é o resultado de 1 + 1?,2,3,1,4,A,Fácil,10
1º Ano,Qual é o resultado de 2 + 2?,4,5,3,6,A,Fácil,10
1º Ano,Qual é o resultado de 3 + 3?,6,7,5,8,A,Fácil,10
1º Ano,Qual é o resultado de 4 + 4?,8,9,7,10,A,Fácil,10
1º Ano,Qual é o resultado de 5 + 5?,10,11,9,12,A,Fácil,10
1º Ano,Qual é o resultado de 6 + 6?,12,13,11,14,A,Fácil,10
1º Ano,Qual é o resultado de 7 + 7?,14,15,13,16,A,Fácil,10
1º Ano,Qual é o resultado de 8 + 8?,16,17,15,18,A,Fácil,10
1º Ano,Qual é o resultado de 9 + 9?,18,19,17,20,A,Fácil,10
1º Ano,Qual é o resultado de 10 + 10?,20,21,19,22,A,Fácil,10
1º Ano,Qual é o resultado de 11 + 11?,22,23,21,24,A,Fácil,10
1º Ano,Qual é o resultado de 12 + 12?,24,25,23,26,A,Fácil,10
1º Ano,Qual é o resultado de 13 + 13?,26,27,25,28,A,Fácil,10
1º Ano,Qual é o resultado de 14 + 14?,28,29,27,30,A,Fácil,10
1º Ano,Qual é o resultado de 15 + 15?,30,31,29,32,A,Fácil,10
1º Ano,Qual é o resultado de 16 + 16?,32,33,31,34,A,Fácil,10
1º Ano,Qual é o resultado de 17 + 17?,34,35,33,36,A,Fácil,10
1º Ano,Qual é o resultado de 18 + 18?,36,37,35,38,A,Fácil,10
1º Ano,Qual é o resultado de 19 + 19?,38,39,37,40,A,Fácil,10
1º Ano,Qual é o resultado de 20 + 20?,40,41,39,42,A,Fácil,10
1º Ano,Qual é o resultado de 21 + 21?,42,43,41,44,A,Fácil,10
1º Ano,Qual é o resultado de 22 + 22?,44,45,43,46,A,Fácil,10
1º Ano,Qual é o resultado de 23 + 23?,46,47,45,48,A,Fácil,10
1º Ano,Qual é o resultado de 24 + 24?,48,49,47,50,A,Fácil,10
1º Ano,Qual é o resultado de 25 + 25?,50,51,49,52,A,Fácil,10
1º Ano,Qual é o resultado de 26 + 26?,52,53,51,54,A,Médio,15
1º Ano,Qual é o resultado de 27 + 27?,54,55,53,56,A,Médio,15
1º Ano,Qual é o resultado de 28 + 28?,56,57,55,58,A,Médio,15
1º Ano,Qual é o resultado de 29 + 29?,58,59,57,60,A,Médio,15
1º Ano,Qual é o resultado de 30 + 30?,60,61,59,62,A,Médio,15
1º Ano,Qual é o resultado de 31 + 31?,62,63,61,64,A,Médio,15
1º Ano,Qual é o resultado de 32 + 32?,64,65,63,66,A,Médio,15
1º Ano,Qual é o resultado de 33 + 33?,66,67,65,68,A,Médio,15
1º Ano,Qual é o resultado de 34 + 34?,68,69,67,70,A,Médio,15
1º Ano,Qual é o resultado de 35 + 35?,70,71,69,72,A,Médio,15
1º Ano,Qual é o resultado de 36 + 36?,72,73,71,74,A,Médio,15
1º Ano,Qual é o resultado de 37 + 37?,74,75,73,76,A,Médio,15
1º Ano,Qual é o resultado de 38 + 38?,76,77,75,78,A,Médio,15
1º Ano,Qual é o resultado de 39 + 39?,78,79,77,80,A,Médio,15
1º Ano,Qual é o resultado de 40 + 40?,80,81,79,82,A,Médio,15
1º Ano,Qual é o resultado de 41 + 41?,82,83,81,84,A,Médio,15
1º Ano,Qual é o resultado de 42 + 42?,84,85,83,86,A,Médio,15
1º Ano,Qual é o resultado de 43 + 43?,86,87,85,88,A,Médio,15
1º Ano,Qual é o resultado de 44 + 44?,88,89,87,90,A,Médio,15
1º Ano,Qual é o resultado de 45 + 45?,90,91,89,92,A,Médio,15
1º Ano,Qual é o resultado de 46 + 46?,92,93,91,94,A,Médio,15
1º Ano,Qual é o resultado de 47 + 47?,94,95,93,96,A,Médio,15
1º Ano,Qual é o resultado de 48 + 48?,96,97,95,98,A,Médio,15
1º Ano,Qual é o resultado de 49 + 49?,98,99,97,100,A,Médio,15
1º Ano,Qual é o resultado de 50 + 50?,100,101,99,102,A,Médio,15
