Ano,Pergunta,A,B,C,D,Correta,Nível,Tempo
2º Ano,Quanto é 12+5?,15,16,17,18,C,Fácil,10
2º Ano,Quanto é 20-8?,10,11,12,13,C,Fácil,10
2º Ano,Quanto é 7+6?,12,13,14,15,B,Fácil,10
2º Ano,Quanto é 15-7?,6,7,8,9,C,Fácil,10
2º Ano,Quanto é o dobro de 4?,6,7,8,9,C,Fácil,10
2º Ano,Quanto é o dobro de 5?,8,9,10,11,C,Fácil,10
2º Ano,Quanto é 3 grupos de 3?,6,7,8,9,D,Fácil,10
2º Ano,Qual número vem depois do 49?,48,49,50,51,C,Fácil,10
2º Ano,Qual número vem antes do 30?,28,29,30,31,B,Fácil,10
2º Ano,Qual é um número par?,5,7,10,11,C,Fácil,10
2º Ano,Qual palavra é verbo?,mesa,correr,casa,livro,B,Fácil,10
2º Ano,Qual palavra é uma fruta?,mesa,banana,caderno,porta,B,Fácil,10
2º Ano,Qual frase está correta?,Eu gosta de ler,Eu gosto de ler,Gosto eu ler,Eu ler gosto,B,Fácil,10
2º Ano,Qual palavra começa com CH?,casa,chave,bola,sapo,B,Fácil,10
2º Ano,Qual palavra tem som de SS?,casa,sapo,mesa,carro,B,Fácil,10
2º Ano,Qual é o plural de flor?,flor,flors,flores,floris,C,Fácil,10
2º Ano,Qual é o plural de casa?,casa,casas,casos,cazas,B,Fácil,10
2º Ano,Qual animal vive na água?,gato,cachorro,peixe,cavalo,C,Fácil,10
2º Ano,O que a planta precisa para crescer?,pedra,água,plástico,vidro,B,Fácil,10
2º Ano,Qual astro ilumina o dia?,Lua,Sol,estrela,planeta,B,Fácil,10
2º Ano,Qual parte usamos para cheirar?,olho,boca,nariz,mão,C,Fácil,10
2º Ano,Qual material faz papel?,madeira,areia,ferro,vidro,A,Fácil,10
2º Ano,Qual atitude economiza água?,fechar a torneira,deixar aberta,brincar,lavar calçada,A,Fácil,10
2º Ano,Qual objeto mede o tempo?,régua,relógio,garfo,lápis,B,Fácil,10
2º Ano,Qual objeto mede comprimento?,copo,régua,bola,escova,B,Fácil,10
2º Ano,Quanto é 14+6?,18,19,20,21,C,Fácil,10
2º Ano,Quanto é 18-9?,7,8,9,10,C,Fácil,10
2º Ano,Quanto é 5x2?,8,9,10,11,C,Fácil,10
2º Ano,Quanto é 4x3?,10,11,12,13,C,Fácil,10
2º Ano,Quanto é 16÷4?,2,3,4,5,C,Fácil,10
2º Ano,Quanto é 20÷5?,2,3,4,5,C,Fácil,10
2º Ano,Qual é uma cor?,bola,verde,mesa,carro,B,Fácil,10
2º Ano,Qual é um objeto?,correr,mesa,feliz,rápido,B,Fácil,10
2º Ano,O que usamos para escrever?,caneta,bola,mesa,carro,A,Fácil,10
2º Ano,O que usamos para beber?,garfo,copo,mesa,livro,B,Fácil,10
2º Ano,Qual número é ímpar?,4,6,9,10,C,Fácil,10
2º Ano,Qual número vem depois do 59?,58,59,60,61,C,Fácil,10
2º Ano,Qual número vem antes do 70?,68,69,70,71,B,Fácil,10
2º Ano,Qual palavra indica ação?,andar,mesa,livro,cadeira,A,Fácil,10
2º Ano,Qual palavra é adjetivo?,bonito,correr,mesa,livro,A,Fácil,10
2º Ano,Qual é o contrário de grande?,alto,pequeno,longo,largo,B,Fácil,10
2º Ano,Qual é o contrário de quente?,frio,alto,baixo,grande,A,Fácil,10
2º Ano,Qual é o planeta em que vivemos?,Marte,Terra,Lua,Sol,B,Fácil,10
2º Ano,Qual é o gás que respiramos?,CO2,Oxigênio,Hélio,Hidrogênio,B,Fácil,10
2º Ano,Qual é um meio de transporte?,mesa,carro,livro,bola,B,Fácil,10
2º Ano,Qual objeto usamos para cortar?,tesoura,bola,livro,mesa,A,Fácil,10
2º Ano,Qual é uma estação do ano?,verão,mesa,livro,caneta,A,Fácil,10
2º Ano,Qual é uma profissão?,professor,mesa,livro,bola,A,Fácil,10
2º Ano,Qual é um animal doméstico?,leão,tigre,cachorro,urso,C,Fácil,10
2º Ano,Qual é um alimento saudável?,batata frita,maçã,refrigerante,doce,B,Fácil,10
